ocel_id;ocel_type
Lodge_Pcp5;Lodge Pickup Plan
Lodge_Pcp3;Lodge Pickup Plan
Lodge_Pcp4;Lodge Pickup Plan
Lodge_Pcp10;Lodge Pickup Plan
Lodge_Pcp1;Lodge Pickup Plan
Lodge_Pcp6;Lodge Pickup Plan
Lodge_Pcp2;Lodge Pickup Plan
Lodge_Pcp9;Lodge Pickup Plan
Lodge_Pcp8;Lodge Pickup Plan
Lodge_Pcp7;Lodge Pickup Plan
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
assign_trs_Pcp5;Assign Trucks
trs_entrytr23;Enter the port
trs_entrytr3;Enter the port
assign_trs_Pcp5;Assign Trucks
trs_entrytr17;Enter the port
weigh_empty_trucktr17;Weigh the Empty Truck
weigh_empty_trucktr3;Weigh the Empty Truck
weigh_empty_trucktr23;Weigh the Empty Truck
check_abnormalitytr3;Check Empty Truck Weight Abnormality
trs_entrytr25;Enter the port
check_abnormalitytr17;Check Empty Truck Weight Abnormality
trs_entrytr40;Enter the port
trs_entrytr45;Enter the port
weigh_empty_trucktr40;Weigh the Empty Truck
check_abnormalitytr23;Check Empty Truck Weight Abnormality
check_abnormalitytr40;Check Empty Truck Weight Abnormality
weigh_empty_trucktr25;Weigh the Empty Truck
trs_entrytr2;Enter the port
trs_entrytr6;Enter the port
fail_weightr3;Fail to Weigh
weigh_empty_trucktr45;Weigh the Empty Truck
trs_entrytr42;Enter the port
trs_entrytr30;Enter the port
trs_entrytr48;Enter the port
check_abnormalitytr25;Check Empty Truck Weight Abnormality
weigh_empty_trucktr2;Weigh the Empty Truck
weigh_empty_trucktr30;Weigh the Empty Truck
trs_entrytr26;Enter the port
trs_entrytr38;Enter the port
weigh_empty_trucktr48;Weigh the Empty Truck
check_abnormalitytr2;Check Empty Truck Weight Abnormality
check_abnormalitytr48;Check Empty Truck Weight Abnormality
weigh_empty_trucktr38;Weigh the Empty Truck
trs_entrytr20;Enter the port
trs_entrytr1;Enter the port
weigh_empty_trucktr6;Weigh the Empty Truck
weigh_empty_trucktr26;Weigh the Empty Truck
check_abnormalitytr38;Check Empty Truck Weight Abnormality
weigh_empty_trucktr42;Weigh the Empty Truck
arrive_at_Silo20;Arrive at the Silo
arrive_at_Silo20;Arrive at the Silo
determine_continuanceSilo20;Determine the Continuance of the Pickup
check_abnormalitytr45;Check Empty Truck Weight Abnormality
determine_continuanceSilo20;Determine the Continuance of the Pickup
load_trucktr17;Load Truck
check_abnormalitytr42;Check Empty Truck Weight Abnormality
check_abnormalitytr30;Check Empty Truck Weight Abnormality
trs_entrytr24;Enter the port
trs_entrytr10;Enter the port
weigh_empty_trucktr20;Weigh the Empty Truck
load_trucktr40;Load Truck
arrive_at_Silo20;Arrive at the Silo
check_abnormalitytr6;Check Empty Truck Weight Abnormality
weigh_empty_trucktr24;Weigh the Empty Truck
check_abnormalitytr26;Check Empty Truck Weight Abnormality
fail_weightr45;Fail to Weigh
trs_entrytr41;Enter the port
weigh_empty_trucktr41;Weigh the Empty Truck
arrive_at_Silo20;Arrive at the Silo
weigh_empty_trucktr1;Weigh the Empty Truck
check_abnormalitytr41;Check Empty Truck Weight Abnormality
assign_trs_Pcp8;Assign Trucks
weigh_empty_trucktr10;Weigh the Empty Truck
trs_entrytr12;Enter the port
determine_continuanceSilo20;Determine the Continuance of the Pickup
arrive_at_Silo20;Arrive at the Silo
determine_continuanceSilo20;Determine the Continuance of the Pickup
fail_weightr30;Fail to Weigh
trs_entrytr27;Enter the port
fail_weightr2;Fail to Weigh
check_abnormalitytr20;Check Empty Truck Weight Abnormality
arrive_at_Silo20;Arrive at the Silo
fail_weightr48;Fail to Weigh
trs_entrytr33;Enter the port
fail_weightr42;Fail to Weigh
determine_continuanceSilo20;Determine the Continuance of the Pickup
check_abnormalitytr24;Check Empty Truck Weight Abnormality
weigh_empty_trucktr33;Weigh the Empty Truck
load_trucktr38;Load Truck
weigh_empty_trucktr27;Weigh the Empty Truck
trs_entrytr7;Enter the port
check_abnormalitytr27;Check Empty Truck Weight Abnormality
check_abnormalitytr33;Check Empty Truck Weight Abnormality
fail_weightr24;Fail to Weigh
arrive_at_Silo20;Arrive at the Silo
check_abnormalitytr1;Check Empty Truck Weight Abnormality
determine_continuanceSilo20;Determine the Continuance of the Pickup
load_trucktr25;Load Truck
load_trucktr23;Load Truck
